receiver,method,probability_variant,bin,count,confidence_sum,correct_sum
1-20,P0,source_temperature,1,0,0.0,0.0
1-20,P0,source_temperature,2,0,0.0,0.0
1-20,P0,source_temperature,3,33,8.24097196598522,8.0
1-20,P0,source_temperature,4,273,83.59448430457266,60.99999999999999
1-20,P0,source_temperature,5,546,201.49844300640638,152.0
1-20,P0,source_temperature,6,828,360.6939882823078,291.0
1-20,P0,source_temperature,7,1097,548.4209950675935,473.0
1-20,P0,source_temperature,8,1090,616.2716790568435,570.0
1-20,P0,source_temperature,9,1067,675.3576245267305,589.0
1-20,P0,source_temperature,10,1204,842.3811187941533,797.0
1-20,P0,source_temperature,11,1247,957.1884841427645,942.0
1-20,P0,source_temperature,12,1793,1498.3134159543479,1476.0
1-20,P0,source_temperature,13,2883,2606.828836933743,2601.0
1-20,P0,source_temperature,14,11299,10996.423671381284,11201.0
1-20,P2,raw,0,0,0.0,0.0
1-20,P2,raw,1,0,0.0,0.0
1-20,P2,raw,2,0,0.0,0.0
1-20,P2,raw,3,7,1.692138999700546,0.0
1-20,P2,raw,4,59,17.90405035018921,11.999999999999996
1-20,P2,raw,5,153,56.57572683691978,57.0
1-20,P2,raw,6,276,119.9103934764862,86.99999999999999
1-20,P2,raw,7,491,247.8738824427128,196.0
1-20,P2,raw,8,468,264.8811553120613,207.0
1-20,P2,raw,9,512,324.1489232182503,243.0
1-20,P2,raw,10,529,370.80896347761154,262.0
1-20,P2,raw,11,597,458.5762441754341,321.0
1-20,P2,raw,12,753,628.7154713273048,442.0
1-20,P2,raw,13,1090,983.8626863956451,710.0
1-20,P2,raw,14,18425,18319.537175774574,17634.0
1-20,P2,source_temperature,0,0,0.0,0.0
1-20,P2,source_temperature,1,0,0.0,0.0
1-20,P2,source_temperature,2,1,0.1908798909990368,0.0
1-20,P2,source_temperature,3,63,15.395551649948047,16.0
1-20,P2,source_temperature,4,282,85.86209143545847,96.99999999999999
1-20,P2,source_temperature,5,513,188.90222705289483,179.0
1-20,P2,source_temperature,6,631,274.54817444751933,266.0
1-20,P2,source_temperature,7,814,408.1839153384368,391.0
1-20,P2,source_temperature,8,846,479.1791897419111,435.0
1-20,P2,source_temperature,9,823,522.0443551615849,495.0
1-20,P2,source_temperature,10,848,594.2146429612577,567.0
1-20,P2,source_temperature,11,973,746.3877381803936,709.0
1-20,P2,source_temperature,12,1365,1141.8671257538465,1148.0
1-20,P2,source_temperature,13,2387,2160.903543704295,2200.0
1-20,P2,source_temperature,14,13814,13519.3686939732,13668.0
1-20,SAR_GN,raw,0,0,0.0,0.0
1-20,SAR_GN,raw,1,0,0.0,0.0
1-20,SAR_GN,raw,2,0,0.0,0.0
1-20,SAR_GN,raw,3,6,1.5290024578571317,2.0
1-20,SAR_GN,raw,4,85,26.319960236549377,18.0
1-20,SAR_GN,raw,5,271,100.31878179311751,67.0
1-20,SAR_GN,raw,6,425,184.9864141047001,124.99999999999999
1-20,SAR_GN,raw,7,724,363.4200323522091,265.0
1-20,SAR_GN,raw,8,807,457.64656233787537,347.0
1-20,SAR_GN,raw,9,821,520.1021244525909,385.0
1-20,SAR_GN,raw,10,817,572.3917786478996,439.0
1-20,SAR_GN,raw,11,966,740.1877561807632,549.0
1-20,SAR_GN,raw,12,1172,978.7878025770187,787.0
1-20,SAR_GN,raw,13,1735,1566.5599303245544,1326.0
1-20,SAR_GN,raw,14,15531,15349.889419019222,14851.0
1-20,SAR_GN,source_temperature,0,0,0.0,0.0
1-20,SAR_GN,source_temperature,1,0,0.0,0.0
1-20,SAR_GN,source_temperature,2,0,0.0,0.0
1-20,SAR_GN,source_temperature,3,33,8.240950955575814,8.0
1-20,SAR_GN,source_temperature,4,273,83.59381394116419,60.99999999999999
1-20,SAR_GN,source_temperature,5,544,200.6969995319609,151.0
1-20,SAR_GN,source_temperature,6,829,361.0246410797115,292.0
1-20,SAR_GN,source_temperature,7,1097,548.3528703371113,472.0
1-20,SAR_GN,source_temperature,8,1091,616.8049116544121,571.0
1-20,SAR_GN,source_temperature,9,1067,675.3555626965311,589.0
1-20,SAR_GN,source_temperature,10,1204,842.3749644253357,797.0
1-20,SAR_GN,source_temperature,11,1248,957.9838333998265,943.0
1-20,SAR_GN,source_temperature,12,1792,1497.5082485489904,1475.0
1-20,SAR_GN,source_temperature,13,2882,2605.892646014084,2600.0
1-20,SAR_GN,source_temperature,14,11300,10997.357389162247,11202.0
1-20,T3A,raw,0,0,0.0,0.0
1-20,T3A,raw,1,0,0.0,0.0
1-20,T3A,raw,2,0,0.0,0.0
1-20,T3A,raw,3,110,27.469675004482266,26.0
1-20,T3A,raw,4,604,185.22023648023605,187.0
1-20,T3A,raw,5,1202,443.7926334440708,534.0
1-20,T3A,raw,6,1534,665.638038098812,851.0
1-20,T3A,raw,7,1673,836.2520363032818,1037.0
1-20,T3A,raw,8,1650,935.6242717504501,1278.0
1-20,T3A,raw,9,1753,1111.1972523331642,1494.0
1-20,T3A,raw,10,2103,1473.794902920723,1900.0
1-20,T3A,raw,11,2490,1910.5937613248825,2358.0
1-20,T3A,raw,12,2739,2284.584620475769,2690.0
1-20,T3A,raw,13,4277,3861.050105214119,4263.0
1-20,T3A,raw,14,3225,3072.427161872387,3225.0
1-20,T3A,source_temperature,0,0,0.0,0.0
1-20,T3A,source_temperature,1,0,0.0,0.0
1-20,T3A,source_temperature,2,0,0.0,0.0
1-20,T3A,source_temperature,3,12,2.9984098072715843,3.0
1-20,T3A,source_temperature,4,181,55.29181342040587,45.0
1-20,T3A,source_temperature,5,481,178.5447920160044,159.0
1-20,T3A,source_temperature,6,799,347.905463483935,338.0
1-20,T3A,source_temperature,7,1186,594.8528737338278,587.0
1-20,T3A,source_temperature,8,1066,603.1377488544125,606.0
1-20,T3A,source_temperature,9,1135,719.4071753194204,701.0
1-20,T3A,source_temperature,10,1178,823.9334769467977,851.0
1-20,T3A,source_temperature,11,1415,1086.9660860946642,1161.0
1-20,T3A,source_temperature,12,1982,1655.2320890543747,1739.0
1-20,T3A,source_temperature,13,3301,2983.5208498781813,3090.0
1-20,T3A,source_temperature,14,10624,10375.220817715945,10563.0
13-14,EMB_STD,raw,0,0,0.0,0.0
13-14,EMB_STD,raw,1,0,0.0,0.0
13-14,EMB_STD,raw,2,0,0.0,0.0
13-14,EMB_STD,raw,3,6,1.54055318236351,2.0
13-14,EMB_STD,raw,4,134,42.27216222882271,20.999999999999996
13-14,EMB_STD,raw,5,528,193.517453700304,165.99999999999997
13-14,EMB_STD,raw,6,496,214.83289110660553,169.0
13-14,EMB_STD,raw,7,740,371.44069132208824,272.0
13-14,EMB_STD,raw,8,707,399.15256756544113,283.99999999999994
13-14,EMB_STD,raw,9,680,430.7592952847481,288.0
13-14,EMB_STD,raw,10,707,495.6350212097168,321.0
13-14,EMB_STD,raw,11,900,691.7267454266548,411.0
13-14,EMB_STD,raw,12,1046,871.4849163889885,528.0
13-14,EMB_STD,raw,13,1397,1261.6325910687447,849.0
13-14,EMB_STD,raw,14,15299,15174.952206969261,14138.0
13-14,EMB_STD,source_temperature,0,0,0.0,0.0
13-14,EMB_STD,source_temperature,1,0,0.0,0.0
13-14,EMB_STD,source_temperature,2,0,0.0,0.0
